Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
173,150,65,1.55,693,Yoga,25.3,2.4,4,1,22.88
163,137,62,1.29,802,Strength,25.8,2.7,4,2,22.17
175,140,66,1.39,664,HIIT,23.6,2.7,4,2,22.59
189,145,65,1.45,738,Yoga,27.5,2.3,4,2,22.63
176,146,64,1.09,545,Yoga,23.6,2.1,4,2,24.97
173,144,64,1.11,772,Yoga,23.2,2.3,3,2,22.08
178,146,65,1.3,869,Strength,25.8,2.2,4,2,23.64
184,147,65,1.53,695,Strength,22.1,1.9,3,2,24.93
175,143,65,1.51,783,Yoga,22.0,2.6,4,2,24.65
173,141,64,1.04,587,HIIT,22.8,3.2,4,1,24.66
178,142,65,1.15,893,Yoga,26.0,2.5,3,1,22.89
165,149,62,1.44,785,HIIT,22.4,2.4,3,2,23.48
172,143,63,1.72,960,Yoga,29.3,2.4,3,1,25.38
171,144,65,1.13,620,HIIT,26.7,2.3,3,2,21.92
172,144,67,1.23,868,HIIT,25.6,3.0,3,1,23.96
180,143,65,1.51,834,Strength,23.9,2.9,3,1,22.87
178,149,67,1.23,833,Cardio,21.9,2.7,4,1,24.78
172,144,62,1.3,575,Yoga,27.3,2.1,4,2,23.36
171,143,66,1.5,780,HIIT,24.1,2.8,3,1,23.91
177,148,62,1.09,868,Cardio,26.1,2.6,3,1,23.1
170,145,63,1.44,852,Cardio,24.9,2.4,4,1,23.3
167,142,64,1.1,836,Strength,27.1,2.2,4,1,24.49
173,143,65,0.99,807,HIIT,25.5,2.5,4,1,24.41
179,148,66,1.29,812,Strength,26.3,2.2,4,1,24.57
174,145,67,1.32,513,Strength,24.2,2.3,3,1,23.23
165,150,64,0.79,663,HIIT,25.8,2.8,3,1,23.92
173,144,66,1.43,1053,Strength,23.3,2.8,4,1,23.73
182,144,66,1.18,668,Strength,24.5,2.5,3,1,24.51
170,147,65,0.98,834,HIIT,26.9,2.7,4,2,23.76
175,148,66,1.37,701,Cardio,25.1,2.5,4,1,23.86
171,144,66,1.01,989,Strength,22.3,2.4,4,1,22.92
170,142,66,0.97,606,Yoga,25.6,2.2,4,1,22.58
174,146,66,1.6,828,Cardio,25.5,2.9,4,2,23.47
187,142,66,1.56,729,Strength,25.3,2.5,3,1,24.57
176,139,65,1.66,884,HIIT,29.0,2.4,4,1,25.11
171,146,65,1.3,839,HIIT,27.0,2.8,3,2,24.55
183,139,65,1.23,715,Strength,23.3,2.9,4,1,25.06
174,141,63,1.15,769,Strength,25.7,2.8,4,1,23.74
168,143,64,1.49,846,Cardio,24.7,2.8,3,2,24.92
175,143,62,1.26,713,Strength,29.7,2.2,3,2,23.19
173,142,65,1.27,725,Cardio,24.7,2.7,4,1,23.79
176,141,60,0.98,659,HIIT,24.6,2.8,3,2,24.48
180,144,64,1.05,710,Cardio,28.3,2.8,3,2,24.06
174,143,63,1.26,690,Cardio,27.1,2.6,4,1,24.83
179,145,64,1.36,820,Strength,22.1,2.7,3,2,24.74
170,137,64,0.94,810,Cardio,27.0,2.4,4,1,23.58
175,145,63,1.54,719,Cardio,25.2,2.7,4,1,24.24
172,142,66,0.94,797,Yoga,26.7,2.6,3,1,24.93
176,146,65,1.36,844,Yoga,26.1,2.8,4,2,22.3
176,144,68,1.3,766,Cardio,20.5,2.6,3,1,23.9
172,150,65,0.87,765,HIIT,25.7,2.3,4,1,24.23
172,145,66,0.5,889,Cardio,23.5,2.8,4,2,25.17
173,144,66,1.38,831,Strength,26.6,2.2,4,1,26.03
165,146,64,1.23,755,Strength,29.1,2.1,3,2,23.47
175,141,65,0.94,811,Strength,25.8,2.6,4,2,23.48
172,139,66,0.97,684,Yoga,25.2,2.6,4,1,24.71
170,149,65,1.13,758,Yoga,25.6,2.3,4,2,24.19
172,149,65,1.03,679,Cardio,24.6,2.5,3,1,23.75
173,141,63,1.73,722,HIIT,26.7,2.7,4,1,24.93
170,143,64,1.03,798,HIIT,25.4,2.8,3,2,24.37
176,138,66,1.0,793,Yoga,22.5,2.0,4,1,23.53
174,143,66,1.26,869,HIIT,26.5,2.0,4,1,23.52
178,143,64,1.6,938,Strength,25.0,2.5,4,1,25.11
169,144,67,1.28,722,Strength,24.2,2.2,3,2,26.18
179,143,65,1.45,862,HIIT,26.1,1.9,3,1,23.94
167,146,64,1.24,947,HIIT,24.8,2.5,3,1,24.88
176,144,67,1.68,684,HIIT,25.8,2.7,4,1,24.31
182,147,63,1.22,779,Strength,24.1,2.2,4,1,22.99
182,147,64,1.42,865,Strength,25.3,2.3,5,1,24.03
181,139,64,1.17,941,HIIT,25.7,2.4,4,1,23.39
178,147,62,1.23,796,HIIT,23.4,2.4,3,2,22.87
170,141,61,1.13,911,Strength,25.0,2.2,3,2,24.9
179,144,67,1.23,829,Strength,24.6,2.5,4,2,25.69
171,148,65,0.82,823,Yoga,23.3,2.3,3,2,22.89
175,140,66,1.36,933,Yoga,23.2,1.9,3,2,24.94
174,140,66,1.17,833,Cardio,24.0,2.6,4,2,23.42
177,143,66,1.02,796,Yoga,20.4,2.4,4,2,23.38
169,146,66,1.35,656,HIIT,23.5,3.0,3,1,25.43
176,141,65,1.19,1055,Strength,21.4,2.6,3,1,23.44
164,147,68,1.08,815,Strength,26.9,3.2,4,1,22.14
174,144,60,1.28,688,HIIT,23.6,2.5,3,1,25.15
171,142,70,1.31,918,Strength,24.8,2.6,4,2,22.26
177,143,66,1.02,1010,HIIT,23.7,2.9,4,2,25.18
172,150,68,1.14,776,Strength,26.5,2.3,2,1,24.35
180,149,64,1.43,797,HIIT,26.6,2.4,4,2,25.03
168,141,66,1.17,888,Strength,25.4,3.1,4,1,23.93
171,140,66,1.29,612,Cardio,25.5,2.4,4,2,22.61
177,144,64,0.88,891,Yoga,27.7,2.2,4,1,23.08
169,145,67,1.11,830,Strength,22.6,2.8,3,2,24.86
174,147,63,1.03,773,Strength,24.3,2.6,4,2,25.22
172,149,67,0.89,790,Yoga,23.6,2.5,3,1,22.69
177,145,64,1.19,786,Yoga,27.6,2.4,4,2,25.35
176,146,65,1.11,631,HIIT,20.3,2.5,4,1,23.84
171,147,67,1.41,610,Strength,23.0,2.8,4,1,24.17
178,146,62,1.02,748,HIIT,22.8,2.3,3,1,24.97
168,142,66,0.66,607,Cardio,28.5,1.8,3,1,24.58
184,147,65,1.52,614,Yoga,25.2,2.6,3,1,25.19
178,141,66,1.19,869,Strength,26.3,1.8,3,2,24.52
177,142,63,0.56,985,Cardio,27.5,2.2,3,1,25.19
177,140,68,1.09,859,Cardio,25.1,2.7,2,2,23.92
167,142,63,1.26,1029,HIIT,26.4,2.2,4,2,24.27
174,142,68,1.36,731,Cardio,22.2,2.2,3,1,24.63
173,146,69,1.1,811,Cardio,25.7,2.8,3,2,23.05
164,141,61,1.27,790,Cardio,24.0,2.6,3,1,23.87
179,149,67,1.28,854,Yoga,22.7,2.5,3,1,23.69
174,147,66,1.23,855,Cardio,24.8,2.7,4,1,25.03
175,146,66,1.27,820,Yoga,25.7,2.4,3,1,24.26
170,148,66,1.04,757,Cardio,22.4,2.6,3,2,25.77
173,140,67,1.04,786,Yoga,30.2,2.5,4,1,22.52
168,142,64,1.3,891,Yoga,24.0,2.4,3,1,22.61
161,142,66,0.84,787,Cardio,24.4,2.1,4,2,23.91
173,149,65,1.04,755,HIIT,26.4,2.4,3,2,24.64
183,150,64,1.37,798,Cardio,25.7,1.9,3,1,22.86
174,146,64,1.04,767,HIIT,25.0,2.4,3,2,26.41
173,139,65,0.85,643,Strength,25.7,2.4,3,2,23.07
181,147,61,1.26,849,Yoga,22.4,2.5,4,2,25.14
173,145,63,1.34,846,Yoga,22.8,2.8,4,1,25.67
172,149,66,1.41,795,Cardio,26.8,2.7,4,1,24.71
179,146,61,1.31,735,HIIT,19.7,2.5,3,1,25.5
171,148,65,1.28,898,Strength,28.8,2.9,4,1,23.2
168,143,67,0.96,771,Cardio,23.1,2.2,5,2,24.72
183,144,65,1.77,879,HIIT,23.3,2.4,4,1,24.06
184,141,63,1.09,994,Strength,24.7,2.8,4,2,22.47
184,141,64,1.22,878,Yoga,26.3,2.5,3,1,24.95
179,150,65,0.99,692,Strength,23.2,2.7,4,1,24.54
179,145,63,1.18,814,Strength,27.0,2.3,2,1,24.21
174,140,66,1.19,826,Cardio,24.8,2.7,3,1,24.43
167,143,63,1.3,891,HIIT,24.5,2.6,4,2,23.32
169,142,64,1.1,839,HIIT,27.5,2.1,3,1,24.82
178,145,65,0.95,678,Strength,24.5,2.3,4,2,25.07
167,144,67,1.01,876,Yoga,22.1,2.5,3,2,22.32
171,146,65,1.23,707,Strength,23.5,2.4,4,1,23.27
173,147,63,1.18,702,Strength,26.5,2.6,3,2,24.53
181,147,66,1.27,936,Cardio,23.8,2.9,4,2,23.24
184,145,63,0.81,596,Strength,25.7,2.6,4,2,23.57
182,145,63,0.65,810,HIIT,23.5,2.2,4,1,26.72
174,148,66,1.12,633,Cardio,25.7,2.9,3,1,24.13
174,146,66,1.01,857,Cardio,24.7,2.5,4,2,25.31
180,143,68,1.34,892,Strength,24.4,2.5,3,1,24.79
171,144,62,1.27,781,Cardio,23.9,2.8,3,2,23.53
178,142,67,1.08,755,Yoga,25.5,2.8,3,2,23.93
178,143,65,1.24,826,Yoga,22.0,2.6,3,1,23.56
172,148,65,1.45,814,Strength,30.7,2.7,4,2,23.75
175,145,65,1.34,805,HIIT,25.3,3.0,4,1,22.67
171,142,64,1.43,864,Strength,23.2,1.6,4,1,23.59
170,150,64,1.16,890,Cardio,25.5,2.5,4,2,23.8
184,141,65,1.18,899,Yoga,23.2,2.3,4,1,23.49
171,144,67,0.8,972,Yoga,25.0,1.8,2,2,23.64
177,147,66,0.77,733,HIIT,25.0,2.5,3,1,23.9
169,143,68,0.82,700,Strength,23.7,2.4,4,2,23.82
177,142,66,1.0,798,Cardio,29.1,2.3,3,2,22.17
169,147,63,1.57,786,Yoga,25.1,3.0,3,2,23.11
179,151,66,1.3,820,Strength,25.7,2.5,4,1,23.52
177,145,60,1.02,863,HIIT,24.3,2.7,5,1,24.39
178,149,66,1.24,784,Cardio,23.7,2.4,4,2,24.33
178,148,62,1.01,592,HIIT,26.3,2.4,4,2,24.6
175,145,59,0.56,762,Cardio,22.1,2.3,3,1,23.67
166,145,60,0.89,785,Strength,23.7,2.9,4,2,24.96
172,143,69,1.1,1077,Yoga,26.7,2.8,4,1,23.61
179,144,63,1.41,986,HIIT,24.2,2.8,3,1,24.4
171,144,66,0.84,755,Strength,25.1,2.8,4,1,25.04
164,144,67,1.47,696,Strength,22.9,2.1,3,1,23.62
180,146,59,1.03,959,HIIT,26.5,2.4,3,2,23.57
169,145,63,1.38,844,Strength,28.4,2.9,4,1,23.64
173,140,61,1.25,725,Yoga,24.8,2.2,4,1,24.68
173,146,63,1.34,818,Cardio,26.3,2.2,3,1,23.88
176,146,63,1.09,1035,Yoga,25.4,2.2,3,2,23.08
173,151,66,1.27,815,Yoga,25.7,2.7,4,2,24.16
174,145,65,1.03,888,Yoga,25.2,2.6,3,1,22.96
169,146,66,0.95,792,HIIT,26.5,2.7,4,1,23.22
177,138,64,1.09,587,Strength,25.9,2.7,4,1,23.89
172,149,65,1.18,769,Yoga,24.2,2.8,3,1,24.28
168,149,68,0.96,727,Yoga,29.1,2.9,4,1,25.17
179,143,64,0.89,788,Strength,27.4,2.1,4,2,24.22
173,146,62,1.09,783,Cardio,26.6,2.5,3,1,23.67
172,150,62,1.04,1004,Cardio,23.9,2.2,4,1,23.83
176,143,63,1.07,645,Yoga,24.0,2.6,3,2,24.69
175,144,66,1.23,716,HIIT,25.8,2.3,2,1,23.59
178,151,69,1.13,954,HIIT,24.9,1.9,3,2,23.82
173,145,65,1.02,525,HIIT,24.1,2.8,4,1,23.47
165,144,65,1.22,808,Cardio,28.1,2.4,4,1,23.98
180,143,66,1.15,836,Cardio,25.6,2.4,3,1,22.98
168,141,69,1.74,902,HIIT,22.7,2.2,4,1,23.25
173,143,64,1.18,684,Yoga,25.3,2.7,3,1,23.72
171,148,67,1.21,839,Strength,29.4,2.2,4,2,25.14
180,148,65,1.32,785,HIIT,26.7,2.1,4,1,23.36
171,144,66,1.09,743,Cardio,26.6,2.9,4,1,23.85
176,142,67,1.33,755,Yoga,26.3,2.6,5,2,23.59
177,142,66,0.77,736,HIIT,27.0,2.5,3,1,22.81
167,146,66,1.32,766,Strength,24.1,2.7,3,1,23.85
172,145,65,1.24,668,Strength,24.9,2.3,4,2,24.39
182,147,61,1.72,783,Cardio,22.9,2.8,4,2,24.8
174,140,61,1.09,767,Yoga,25.0,1.6,3,1,24.27
177,145,65,1.71,703,Cardio,23.1,2.3,3,2,24.21
178,142,65,1.47,920,Yoga,24.1,2.3,4,2,22.65
177,149,65,1.18,900,Cardio,22.9,2.4,4,1,24.42
175,145,66,0.81,981,Strength,25.1,2.6,3,2,26.25
173,145,61,0.94,760,Cardio,28.9,3.2,3,1,24.15
176,148,67,0.93,979,Cardio,27.2,2.1,4,1,22.35
178,146,61,1.28,941,Yoga,25.1,2.4,4,2,23.01
168,146,64,1.5,870,HIIT,23.8,2.1,4,1,22.69
179,148,68,1.14,863,Strength,23.7,1.9,3,2,22.02
177,150,64,1.16,718,Yoga,23.9,2.6,3,2,23.46
170,145,62,1.03,675,HIIT,27.1,2.5,4,2,24.19
183,144,64,1.4,658,Strength,22.6,2.7,3,1,24.32
172,146,66,1.02,958,Strength,26.4,2.9,4,1,22.19
172,143,64,0.82,744,Cardio,26.1,2.3,4,2,23.17
188,139,66,0.78,719,Yoga,25.4,2.7,4,1,23.26
165,143,65,1.12,885,Strength,17.5,2.7,5,1,22.01
187,143,64,1.22,805,Yoga,24.8,2.8,4,1,22.95
178,144,63,1.2,792,HIIT,26.7,2.7,3,1,24.22
166,140,64,1.43,782,HIIT,26.1,2.5,3,2,23.4
171,153,63,1.2,739,HIIT,24.3,2.6,3,1,24.56
171,142,63,1.22,853,Yoga,23.5,2.4,3,2,24.02
167,147,66,1.32,990,HIIT,23.0,2.6,4,2,23.05
175,147,67,1.22,928,Yoga,22.5,2.6,3,1,24.32
174,148,62,1.36,705,Cardio,24.2,2.9,4,2,24.07
174,146,66,1.29,859,Strength,21.5,1.8,3,2,25.93
180,142,63,0.86,945,Strength,24.5,2.4,4,2,22.32
171,146,63,1.3,706,Strength,27.4,2.4,4,1,23.01
170,149,66,1.49,1052,HIIT,23.7,2.9,3,1,24.23
175,139,65,1.6,924,HIIT,23.7,2.3,4,2,24.7
169,145,63,1.43,721,Strength,22.9,2.6,3,1,22.76
185,143,61,1.19,877,HIIT,23.6,2.7,4,1,23.86
181,146,65,0.96,869,Yoga,28.7,2.4,3,2,23.63
177,144,62,1.4,765,Yoga,22.2,2.4,3,1,22.5
182,144,61,0.86,707,Yoga,23.4,2.6,3,2,24.22
173,147,64,0.99,1024,Yoga,29.2,2.3,4,2,24.3
178,144,63,1.12,812,Strength,23.8,2.5,4,1,23.92
176,142,67,1.35,865,Cardio,21.6,2.1,3,1,24.84
173,140,64,1.21,705,Yoga,24.6,2.6,4,1,22.85
179,146,66,0.84,835,Strength,22.3,2.4,3,2,22.74
167,147,64,1.18,805,Cardio,23.0,2.3,4,2,23.95
163,143,65,1.23,867,HIIT,21.8,2.4,5,1,24.16
181,142,63,1.47,684,Yoga,24.2,2.5,3,2,23.93
172,144,65,1.4,916,Yoga,26.0,2.7,4,2,25.75
167,145,65,1.12,898,Yoga,22.2,1.5,3,1,23.59
175,146,64,1.21,888,Yoga,26.1,2.9,4,1,23.46
172,146,64,1.15,711,HIIT,23.8,2.8,3,2,24.35
174,144,68,1.1,806,Yoga,23.5,2.2,4,2,24.73
173,146,66,1.09,641,Cardio,25.4,2.6,4,2,23.83
174,144,65,1.02,864,HIIT,22.6,2.3,5,1,24.27
168,142,62,0.8,835,Cardio,23.3,2.6,3,1,21.21
172,142,65,1.62,699,Yoga,26.0,2.4,3,2,25.91
167,145,67,0.86,714,Strength,26.0,2.1,4,1,25.34
178,142,68,1.29,856,Strength,25.9,2.7,4,2,24.4
173,144,66,1.0,814,Cardio,26.9,3.0,3,2,23.64
177,143,64,0.95,829,HIIT,23.7,2.4,3,1,22.0
178,149,66,1.51,736,Cardio,24.6,2.1,3,1,23.2
176,142,65,1.08,659,Cardio,26.3,2.3,3,1,22.88
181,144,66,1.38,857,Yoga,24.9,2.5,4,1,23.84
170,145,63,1.06,738,HIIT,25.9,1.9,3,1,23.95
176,143,61,1.39,763,HIIT,23.4,2.5,2,2,25.29
167,142,70,1.07,912,Yoga,23.8,2.7,4,2,23.39
184,146,65,1.07,943,Yoga,25.3,3.1,3,2,24.28
173,142,66,1.13,784,Yoga,23.7,2.8,2,2,24.86
178,147,68,1.37,790,Cardio,23.1,2.6,4,2,23.18
174,145,65,1.2,672,Strength,25.9,2.9,3,1,23.8
